pair_id,leg_a,leg_b,status,exclusion_reason,discovery_score,corr_168,half_life_hours,n_aligned,vol_ratio
ETH-UNI,ETH,UNI,candidate,,0.7812,0.7082,47.6,841,0.7007
ETH-WIF,ETH,WIF,candidate,,0.5135,0.5084,88.4,841,0.685
ETH-XRP,ETH,XRP,candidate,,0.7663,0.6884,46.2,841,0.9763
ETHFI-HBAR,ETHFI,HBAR,candidate,,0.6574,0.5432,30.3,841,0.8047
ETHFI-ICP,ETHFI,ICP,excluded_low_correlation,corr_168=0.221 < 0.4,,0.2208,32.5,841,0.9026
ETHFI-INJ,ETHFI,INJ,candidate,,0.7106,0.6142,33.6,841,0.9595
ETHFI-JTO,ETHFI,JTO,candidate,,0.6772,0.5696,39.9,841,0.7975
ETHFI-JUP,ETHFI,JUP,candidate,,0.5345,0.547,91.1,841,0.9546
ETHFI-LDO,ETHFI,LDO,candidate,,0.7266,0.6355,40.3,841,0.9172
ETHFI-LINK,ETHFI,LINK,candidate,,0.6603,0.5471,40.5,841,0.8098
ETHFI-LTC,ETHFI,LTC,candidate,,0.6351,0.5135,33.5,841,0.6801
ETHFI-NEAR,ETHFI,NEAR,candidate,,0.5965,0.462,47.4,841,0.9384
ETHFI-OP,ETHFI,OP,candidate,,0.4636,0.5702,121.4,841,0.9566
ETHFI-PENDLE,ETHFI,PENDLE,candidate,,0.6624,0.5499,30.4,841,0.9916
ETHFI-SEI,ETHFI,SEI,candidate,,0.6094,0.4792,37.3,841,0.7564
ETHFI-SOL,ETHFI,SOL,candidate,,0.568,0.424,42.5,841,0.8629
ETHFI-STRK,ETHFI,STRK,candidate,,0.5995,0.466,44.4,841,0.8696
ETHFI-STX,ETHFI,STX,candidate,,0.6806,0.5741,30.1,841,0.8712
ETHFI-SUI,ETHFI,SUI,candidate,,0.6657,0.5694,51.9,841,0.9982
ETHFI-TIA,ETHFI,TIA,candidate,,0.6416,0.5567,56.9,841,0.9878
ETHFI-UNI,ETHFI,UNI,candidate,,0.576,0.4346,17.7,841,0.8899
ETHFI-WIF,ETHFI,WIF,candidate,,0.5741,0.4321,34.3,841,0.87
ETHFI-XRP,ETHFI,XRP,excluded_low_correlation,corr_168=0.378 < 0.4,,0.3784,43.7,841,0.8065
HBAR-ICP,HBAR,ICP,excluded_low_correlation,corr_168=0.234 < 0.4,,0.2342,98.0,841,0.7263
HBAR-INJ,HBAR,INJ,candidate,,0.7712,0.7707,67.5,841,0.7721
HBAR-JTO,HBAR,JTO,candidate,,0.7421,0.6562,38.1,841,0.6418
HBAR-JUP,HBAR,JUP,candidate,,0.5005,0.7085,144.3,841,0.7682
HBAR-LDO,HBAR,LDO,candidate,,0.6893,0.7184,82.1,841,0.8774
HBAR-LINK,HBAR,LINK,candidate,,0.5256,0.7649,150.2,841,0.9937
HBAR-LTC,HBAR,LTC,candidate,,0.8122,0.7971,60.2,841,0.8452
HBAR-NEAR,HBAR,NEAR,candidate,,0.295,0.5267,523.0,841,0.7551
HBAR-OP,HBAR,OP,candidate,,0.4119,0.6825,207.6,841,0.7698
HBAR-PENDLE,HBAR,PENDLE,candidate,,0.7077,0.6464,57.3,841,0.8115
HBAR-SEI,HBAR,SEI,candidate,,0.5891,0.5984,85.6,841,0.94
HBAR-SOL,HBAR,SOL,candidate,,0.5132,0.6967,136.9,841,0.9325
HBAR-STRK,HBAR,STRK,candidate,,0.3233,0.5644,175.8,841,0.9254
HBAR-STX,HBAR,STX,candidate,,0.8168,0.7557,38.5,841,0.9237
HBAR-SUI,HBAR,SUI,candidate,,0.681,0.7474,92.4,841,0.8062
HBAR-TIA,HBAR,TIA,candidate,,0.5281,0.6178,111.5,841,0.7949
HBAR-UNI,HBAR,UNI,candidate,,0.6916,0.6891,73.8,841,0.7161
HBAR-WIF,HBAR,WIF,candidate,,0.5771,0.6232,96.1,841,0.7001
HBAR-XRP,HBAR,XRP,candidate,,0.7584,0.7179,58.3,841,0.9977
ICP-INJ,ICP,INJ,excluded_low_correlation,corr_168=0.328 < 0.4,,0.3275,30.1,841,0.9407
ICP-JTO,ICP,JTO,excluded_low_correlation,corr_168=0.321 < 0.4,,0.3208,36.7,841,0.8836
ICP-JUP,ICP,JUP,excluded_low_correlation,corr_168=0.259 < 0.4,,0.2585,73.4,841,0.9455
ICP-LDO,ICP,LDO,excluded_low_correlation,corr_168=0.328 < 0.4,,0.3278,61.8,841,0.8278
ICP-LINK,ICP,LINK,excluded_low_correlation,corr_168=0.282 < 0.4,,0.2819,35.8,841,0.7309
ICP-LTC,ICP,LTC,excluded_low_correlation,corr_168=0.259 < 0.4,,0.259,28.1,841,0.6139
ICP-NEAR,ICP,NEAR,excluded_low_correlation,corr_168=0.289 < 0.4,,0.2893,52.9,841,0.9618
ICP-OP,ICP,OP,excluded_low_correlation,corr_168=0.343 < 0.4,,0.3429,205.3,841,0.9435
ICP-PENDLE,ICP,PENDLE,excluded_low_correlation,corr_168=0.208 < 0.4,,0.2084,31.1,841,0.895
ICP-SEI,ICP,SEI,excluded_low_correlation,corr_168=0.198 < 0.4,,0.1976,66.2,841,0.6827
ICP-SOL,ICP,SOL,excluded_low_correlation,corr_168=0.168 < 0.4,,0.1684,34.8,841,0.7788
ICP-STRK,ICP,STRK,excluded_low_correlation,corr_168=0.337 < 0.4,,0.3367,78.8,841,0.7849
ICP-STX,ICP,STX,excluded_low_correlation,corr_168=0.291 < 0.4,,0.2909,27.1,841,0.7863
ICP-SUI,ICP,SUI,excluded_low_correlation,corr_168=0.257 < 0.4,,0.2572,44.9,841,0.9009
ICP-TIA,ICP,TIA,excluded_low_correlation,corr_168=0.390 < 0.4,,0.3903,41.5,841,0.9137
ICP-UNI,ICP,UNI,excluded_low_correlation,corr_168=0.288 < 0.4,,0.2885,24.7,841,0.986
ICP-WIF,ICP,WIF,excluded_low_correlation,corr_168=0.192 < 0.4,,0.1918,54.8,841,0.9639
ICP-XRP,ICP,XRP,excluded_low_correlation,corr_168=0.213 < 0.4,,0.2135,44.9,841,0.728
INJ-JTO,INJ,JTO,candidate,,0.7729,0.6972,22.0,841,0.8312
INJ-JUP,INJ,JUP,candidate,,0.7485,0.6876,53.9,841,0.9949
INJ-LDO,INJ,LDO,candidate,,0.7535,0.8179,85.7,841,0.88
INJ-LINK,INJ,LINK,candidate,,0.7616,0.7412,63.2,841,0.777
INJ-LTC,INJ,LTC,candidate,,0.8309,0.7746,42.5,841,0.6526
INJ-NEAR,INJ,NEAR,candidate,,0.4807,0.5965,122.3,841,0.978
INJ-OP,INJ,OP,candidate,,0.5118,0.8158,246.8,841,0.997
INJ-PENDLE,INJ,PENDLE,candidate,,0.7667,0.6889,42.0,841,0.9515
INJ-SEI,INJ,SEI,candidate,,0.6016,0.7006,107.6,841,0.7258
INJ-SOL,INJ,SOL,candidate,,0.6795,0.6493,67.7,841,0.828
INJ-STRK,INJ,STRK,candidate,,0.403,0.6707,193.2,841,0.8344
INJ-STX,INJ,STX,candidate,,0.8442,0.7923,25.0,841,0.8359
INJ-SUI,INJ,SUI,candidate,,0.7645,0.7404,62.0,841,0.9578
INJ-TIA,INJ,TIA,candidate,,0.7819,0.7808,66.4,841,0.9714
INJ-UNI,INJ,UNI,candidate,,0.7953,0.7271,42.3,841,0.9275
INJ-WIF,INJ,WIF,candidate,,0.3688,0.6149,165.4,841,0.9067
INJ-XRP,INJ,XRP,candidate,,0.7085,0.6113,47.8,841,0.7739
JTO-JUP,JTO,JUP,candidate,,0.6693,0.7282,91.5,841,0.8354
JTO-LDO,JTO,LDO,candidate,,0.698,0.6875,71.2,841,0.7314
JTO-LINK,JTO,LINK,candidate,,0.6962,0.6564,63.8,841,0.6458
JTO-LTC,JTO,LTC,candidate,,0.7604,0.6805,38.9,841,0.5424
JTO-NEAR,JTO,NEAR,candidate,,0.2904,0.5206,405.4,841,0.8499
JTO-OP,JTO,OP,candidate,,0.4038,0.6717,220.5,841,0.8337
JTO-PENDLE,JTO,PENDLE,candidate,,0.6752,0.5669,45.2,841,0.7908
JTO-SEI,JTO,SEI,candidate,,0.5291,0.5503,93.8,841,0.6032
JTO-SOL,JTO,SOL,candidate,,0.6299,0.5944,70.6,841,0.6882
JTO-STRK,JTO,STRK,candidate,,0.3024,0.5264,165.4,841,0.6935
JTO-STX,JTO,STX,candidate,,0.7331,0.6441,27.4,841,0.6948
JTO-SUI,JTO,SUI,candidate,,0.7281,0.6627,54.5,841,0.7961
JTO-TIA,JTO,TIA,candidate,,0.6826,0.6394,64.1,841,0.8074
JTO-UNI,JTO,UNI,candidate,,0.6651,0.6009,60.2,841,0.8962
JTO-WIF,JTO,WIF,candidate,,0.2962,0.5282,168.4,841,0.9167
JTO-XRP,JTO,XRP,candidate,,0.6434,0.5246,35.0,841,0.6432
JUP-LDO,JUP,LDO,candidate,,0.7553,0.7149,58.6,841,0.8755
JUP-LINK,JUP,LINK,candidate,,0.7414,0.7264,66.3,841,0.7731
JUP-LTC,JUP,LTC,candidate,,0.8252,0.7669,38.5,841,0.6493
JUP-NEAR,JUP,NEAR,candidate,,0.289,0.4806,158.2,841,0.983
JUP-OP,JUP,OP,candidate,,0.3889,0.6456,166.4,841,0.9979
JUP-PENDLE,JUP,PENDLE,candidate,,0.7245,0.6327,37.8,841,0.9466
JUP-SEI,JUP,SEI,candidate,,0.5728,0.5136,69.4,841,0.7221
JUP-SOL,JUP,SOL,candidate,,0.7353,0.712,64.7,841,0.8238
JUP-STRK,JUP,STRK,candidate,,0.5396,0.4837,73.1,841,0.8301
JUP-STX,JUP,STX,candidate,,0.7902,0.7203,29.9,841,0.8316
JUP-SUI,JUP,SUI,candidate,,0.7273,0.6963,63.4,841,0.9529
JUP-TIA,JUP,TIA,candidate,,0.6384,0.6065,70.8,841,0.9664
JUP-UNI,JUP,UNI,candidate,,0.7386,0.6514,39.7,841,0.9322
JUP-WIF,JUP,WIF,candidate,,0.4301,0.5365,124.2,841,0.9113
JUP-XRP,JUP,XRP,candidate,,0.6877,0.5836,47.7,841,0.7699
LDO-LINK,LDO,LINK,candidate,,0.7966,0.7934,64.6,841,0.883
LDO-LTC,LDO,LTC,candidate,,0.8238,0.765,46.2,841,0.7416
LDO-NEAR,LDO,NEAR,candidate,,0.5205,0.5796,104.3,841,0.8607
LDO-OP,LDO,OP,candidate,,0.797,0.7601,55.9,841,0.8773
LDO-PENDLE,LDO,PENDLE,candidate,,0.7373,0.6498,37.9,841,0.9249
LDO-SEI,LDO,SEI,candidate,,0.7094,0.6126,22.8,841,0.8247
LDO-SOL,LDO,SOL,candidate,,0.678,0.6745,74.7,841,0.9409
LDO-STRK,LDO,STRK,candidate,,0.715,0.6398,53.1,841,0.9481
LDO-STX,LDO,STX,candidate,,0.7994,0.7325,33.1,841,0.9499
LDO-SUI,LDO,SUI,candidate,,0.7176,0.7277,74.8,841,0.9188
LDO-TIA,LDO,TIA,candidate,,0.7147,0.7487,81.2,841,0.9059
LDO-UNI,LDO,UNI,candidate,,0.7929,0.7239,35.4,841,0.8162
LDO-WIF,LDO,WIF,candidate,,0.5102,0.6301,120.8,841,0.7979
LDO-XRP,LDO,XRP,candidate,,0.7083,0.6111,43.4,841,0.8794
LINK-LTC,LINK,LTC,discovered,,0.8742,0.8323,13.3,841,0.8398
LINK-NEAR,LINK,NEAR,candidate,,0.6265,0.5459,59.3,841,0.7599
LINK-OP,LINK,OP,candidate,,0.3952,0.6603,177.0,841,0.7747
LINK-PENDLE,LINK,PENDLE,candidate,,0.7213,0.6284,25.8,841,0.8167
LINK-SEI,LINK,SEI,candidate,,0.557,0.5656,88.2,841,0.934
LINK-SOL,LINK,SOL,discovered,,0.9064,0.8752,12.1,841,0.9385
LINK-STRK,LINK,STRK,candidate,,0.5041,0.5344,98.3,841,0.9313
LINK-STX,LINK,STX,candidate,,0.812,0.7494,40.2,841,0.9296
LINK-SUI,LINK,SUI,candidate,,0.8037,0.7845,59.9,841,0.8113
LINK-TIA,LINK,TIA,candidate,,0.7088,0.6118,23.6,841,0.7999
LINK-UNI,LINK,UNI,candidate,,0.8005,0.734,34.2,841,0.7207
LINK-WIF,LINK,WIF,candidate,,0.5029,0.5184,94.6,841,0.7045
LINK-XRP,LINK,XRP,candidate,,0.7509,0.6873,53.0,841,0.9959
LTC-NEAR,LTC,NEAR,candidate,,0.5139,0.5238,92.2,841,0.6382
LTC-OP,LTC,OP,candidate,,0.4101,0.6801,246.0,841,0.6506
LTC-PENDLE,LTC,PENDLE,candidate,,0.7208,0.6278,27.0,841,0.6859
LTC-SEI,LTC,SEI,candidate,,0.4128,0.5655,137.6,841,0.8991
LTC-SOL,LTC,SOL,candidate,,0.834,0.7786,15.6,841,0.7882
LTC-STRK,LTC,STRK,candidate,,0.3096,0.5461,188.1,841,0.7821
LTC-STX,LTC,STX,candidate,,0.8133,0.7511,38.0,841,0.7807
LTC-SUI,LTC,SUI,candidate,,0.8354,0.7821,48.4,841,0.6814
LTC-TIA,LTC,TIA,candidate,,0.7335,0.6447,16.7,841,0.6718
LTC-UNI,LTC,UNI,candidate,,0.8023,0.7364,40.5,841,0.6053
LTC-WIF,LTC,WIF,candidate,,0.3856,0.6475,187.3,841,0.5917
LTC-XRP,LTC,XRP,candidate,,0.8003,0.7337,42.9,841,0.8433
NEAR-OP,NEAR,OP,candidate,,0.3717,0.5531,148.5,841,0.981
NEAR-PENDLE,NEAR,PENDLE,candidate,,0.5989,0.4652,24.7,841,0.9305
NEAR-SEI,NEAR,SEI,candidate,,0.579,0.4386,47.4,841,0.7098
NEAR-SOL,NEAR,SOL,candidate,,0.5808,0.441,30.6,841,0.8098
NEAR-STRK,NEAR,STRK,candidate,,0.6174,0.4903,48.1,841,0.816
NEAR-STX,NEAR,STX,candidate,,0.6483,0.5311,28.4,841,0.8175
NEAR-SUI,NEAR,SUI,candidate,,0.6551,0.5402,45.9,841,0.9367
NEAR-TIA,NEAR,TIA,candidate,,0.7174,0.6232,47.5,841,0.95
NEAR-UNI,NEAR,UNI,candidate,,0.6119,0.4825,13.8,841,0.9483
NEAR-WIF,NEAR,WIF,excluded_low_correlation,corr_168=0.337 < 0.4,,0.3369,52.9,841,0.9271
NEAR-XRP,NEAR,XRP,excluded_low_correlation,corr_168=0.345 < 0.4,,0.3448,41.6,841,0.7568
OP-PENDLE,OP,PENDLE,candidate,,0.6883,0.5844,34.1,841,0.9486
OP-SEI,OP,SEI,candidate,,0.7124,0.6165,40.9,841,0.7236
OP-SOL,OP,SOL,candidate,,0.6341,0.5557,59.2,841,0.8255
OP-STRK,OP,STRK,candidate,,0.6605,0.6539,75.4,841,0.8318
OP-STX,OP,STX,candidate,,0.7599,0.6799,24.4,841,0.8334
OP-SUI,OP,SUI,candidate,,0.7244,0.6466,51.6,841,0.9548
OP-TIA,OP,TIA,candidate,,0.7927,0.7606,57.5,841,0.9684
OP-UNI,OP,UNI,candidate,,0.7397,0.653,39.5,841,0.9303
OP-WIF,OP,WIF,candidate,,0.3569,0.5388,149.9,841,0.9094
OP-XRP,OP,XRP,candidate,,0.6115,0.482,35.8,841,0.7715
PENDLE-SEI,PENDLE,SEI,candidate,,0.5545,0.5052,73.5,841,0.7628
PENDLE-SOL,PENDLE,SOL,candidate,,0.6697,0.5596,28.8,841,0.8702
PENDLE-STRK,PENDLE,STRK,candidate,,0.49,0.4258,75.2,841,0.8769
PENDLE-STX,PENDLE,STX,candidate,,0.7272,0.6362,36.1,841,0.8785
PENDLE-SUI,PENDLE,SUI,candidate,,0.692,0.6453,62.4,841,0.9934
PENDLE-TIA,PENDLE,TIA,candidate,,0.683,0.5773,47.4,841,0.9795
PENDLE-UNI,PENDLE,UNI,candidate,,0.6935,0.5913,27.0,841,0.8825
PENDLE-WIF,PENDLE,WIF,candidate,,0.5058,0.5126,92.1,841,0.8627
PENDLE-XRP,PENDLE,XRP,candidate,,0.6044,0.4792,49.7,841,0.8133
SEI-SOL,SEI,SOL,candidate,,0.5869,0.5098,63.6,841,0.8766
SEI-STRK,SEI,STRK,candidate,,0.6185,0.4914,41.3,841,0.8699
SEI-STX,SEI,STX,candidate,,0.6944,0.5925,30.5,841,0.8683
SEI-SUI,SEI,SUI,candidate,,0.6553,0.6053,64.7,841,0.7578
SEI-TIA,SEI,TIA,candidate,,0.6428,0.6167,71.9,841,0.7472
SEI-UNI,SEI,UNI,candidate,,0.6692,0.559,33.2,841,0.6731
SEI-WIF,SEI,WIF,candidate,,0.5421,0.4303,58.5,841,0.658
SEI-XRP,SEI,XRP,candidate,,0.5551,0.4068,45.6,841,0.9379
SOL-STRK,SOL,STRK,candidate,,0.4192,0.462,108.8,841,0.9923
SOL-STX,SOL,STX,candidate,,0.7473,0.6631,35.5,841,0.9905
SOL-SUI,SOL,SUI,candidate,,0.8111,0.7505,48.6,841,0.8645
SOL-TIA,SOL,TIA,candidate,,0.627,0.5027,19.4,841,0.8524
SOL-UNI,SOL,UNI,candidate,,0.7632,0.6843,31.0,841,0.7679
SOL-WIF,SOL,WIF,candidate,,0.451,0.4916,105.5,841,0.7507
SOL-XRP,SOL,XRP,candidate,,0.7645,0.693,49.8,841,0.9347
STRK-STX,STRK,STX,candidate,,0.6751,0.5668,30.4,841,0.9982
STRK-SUI,STRK,SUI,candidate,,0.6321,0.5589,60.7,841,0.8712
STRK-TIA,STRK,TIA,candidate,,0.6893,0.6507,64.7,841,0.8589
STRK-UNI,STRK,UNI,candidate,,0.5784,0.4379,26.5,841,0.7739
STRK-WIF,STRK,WIF,candidate,,0.3792,0.4025,107.2,841,0.7565
STRK-XRP,STRK,XRP,candidate,,0.5907,0.4554,48.3,841,0.9275
STX-SUI,STX,SUI,candidate,,0.58,0.6936,113.2,841,0.8728
STX-TIA,STX,TIA,candidate,,0.61,0.6364,88.2,841,0.8605
STX-UNI,STX,UNI,candidate,,0.7141,0.7109,71.7,841,0.7753
STX-WIF,STX,WIF,candidate,,0.3341,0.5788,310.6,841,0.7579
STX-XRP,STX,XRP,candidate,,0.6539,0.6116,66.8,841,0.9258
SUI-TIA,SUI,TIA,candidate,,0.6958,0.5944,20.0,841,0.986
SUI-UNI,SUI,UNI,candidate,,0.7013,0.6682,65.1,841,0.8883
SUI-WIF,SUI,WIF,candidate,,0.3826,0.5455,142.8,841,0.8684
SUI-XRP,SUI,XRP,candidate,,0.7361,0.6482,39.0,841,0.808
TIA-UNI,TIA,UNI,candidate,,0.6999,0.6146,51.8,841,0.9009
TIA-WIF,TIA,WIF,candidate,,0.3282,0.5402,160.1,841,0.8807
TIA-XRP,TIA,XRP,candidate,,0.5798,0.4397,25.9,841,0.7967
UNI-WIF,UNI,WIF,candidate,,0.6545,0.5393,43.7,841,0.9776
UNI-XRP,UNI,XRP,candidate,,0.6915,0.5887,45.1,841,0.7177
WIF-XRP,WIF,XRP,candidate,,0.6529,0.5387,48.4,841,0.7016
